person_id,name,name_cn,name_en
1005247,玛丽亚·冯·特拉普 Maria von Trapp,玛丽亚·冯·特拉普,Maria von Trapp
1313056,安德雷斯·海因斯 Andres Heinz,安德雷斯·海因斯,Andres Heinz
1313055,马克·海曼 Mark Heyman,马克·海曼,Mark Heyman
1313057,约翰·J·麦克劳克林 John J. McLaughlin,约翰·J·麦克劳克林,John J. McLaughlin
1018394,拉里·麦克穆特瑞 Larry McMurtry,拉里·麦克穆特瑞,Larry McMurtry
1293694,黛安娜·奥撒纳 Diana Ossana,黛安娜·奥撒纳,Diana Ossana
1130757,安妮·普鲁 Annie Proulx,安妮·普鲁,Annie Proulx
1340066,杰斯·巴特沃斯 Jez Butterworth,杰斯·巴特沃斯,Jez Butterworth
1340071,约翰-亨利·巴特沃斯 John-Henry Butterworth,约翰-亨利·巴特沃斯,John-Henry Butterworth
1102999,贾森·凯勒 Jason Keller,贾森·凯勒,Jason Keller
1396185,A·J·拜梅 A.J. Baime,A·J·拜梅,A.J. Baime
1018114,简·古德曼 Jane Goldman,简·古德曼,Jane Goldman
1014154,马克·米勒 Mark Millar,马克·米勒,Mark Millar
1001198,戴夫·吉布森 Dave Gibbons,戴夫·吉布森,Dave Gibbons
1316865,李克弱 Keruo Li ,李克弱,Keruo Li
1289713,梅格·勒福夫 Meg LeFauve,梅格·勒福夫,Meg LeFauve
1275917,迈克尔·阿恩特 Michael Arndt,迈克尔·阿恩特,Michael Arndt
1351772,西蒙·里奇 Simon Rich,西蒙·里奇,Simon Rich
1017902,比尔·哈德尔 Bill Hader,比尔·哈德尔,Bill Hader
1049515,艾米·波勒 Amy Poehler,艾米·波勒,Amy Poehler
1341603,格拉汉姆·摩尔 Graham Moore,格拉汉姆·摩尔,Graham Moore
1347751,安德鲁·霍奇斯 Andrew Hodges,安德鲁·霍奇斯,Andrew Hodges
1369159,须一瓜 Yigua Xu,须一瓜,Yigua Xu
1315286,威尔·麦克马克 Will McCormack,威尔·麦克马克,Will McCormack
1404314,史黛芬妮·福尔松 Stephany Folsom,史黛芬妮·福尔松,Stephany Folsom
1404315,C·S·安德森 C.S. Anderson,C·S·安德森,C.S. Anderson
1274234,陈庆嘉 Hing-Ka Chan,陈庆嘉,Hing-Ka Chan
1322098,梁淑华 Suk-Wah Leung,梁淑华,Suk-Wah Leung
1359912,菲利波·博洛尼亚 Filippo Bologna,菲利波·博洛尼亚,Filippo Bologna
1406467,保罗·克斯泰拉 Paolo Costella,保罗·克斯泰拉,Paolo Costella
1359914,宝拉·马米妮 Paola Mammini,宝拉·马米妮,Paola Mammini
1330311,罗兰多·拉维洛 Rolando Ravello,罗兰多·拉维洛,Rolando Ravello
1296698,扬·萨尔迪 Jan Sardi,扬·萨尔迪,Jan Sardi
1319469,杰里米·莱文 Jeremy Leven,杰里米·莱文,Jeremy Leven
1013927,尼古拉斯·斯帕克斯 Nicholas Sparks,尼古拉斯·斯帕克斯,Nicholas Sparks
1022993,艾莲·布洛什·麦肯纳 Aline Brosh McKenna,艾莲·布洛什·麦肯纳,Aline Brosh McKenna
1000785,劳伦·魏丝伯格 Lauren Weisberger,劳伦·魏丝伯格,Lauren Weisberger
1041483,罗纳德·哈伍德 Ronald Harwood,罗纳德·哈伍德,Ronald Harwood
1019677,金庸 Louis Cha,金庸,Louis Cha
1027498,马里奥·普佐 Mario Puzo,马里奥·普佐,Mario Puzo
1343115,亚历克斯·马努吉安 Alex Manugian,亚历克斯·马努吉安,Alex Manugian
1168874,帕米拉·里本 Pamela Ribon,帕米拉·里本,Pamela Ribon
1292721,村井贞之 Sadayuki Murai,村井贞之,Sadayuki Murai
1383308,竹内义和 Yoshikazu Takeuchi,竹内义和,Yoshikazu Takeuchi
1017907,约翰·C·赖利 John C. Reilly,约翰·C·赖利,John C. Reilly
1042383,山姆·J·莱文 Sam J. Levine,山姆·J·莱文,Sam J. Levine
1327012,贾里德·斯特恩 Jared Stern,贾里德·斯特恩,Jared Stern
1009233,简·林奇 Jane Lynch,简·林奇,Jane Lynch
1036420,朱莉·德尔佩 Julie Delpy,朱莉·德尔佩,Julie Delpy
1018984,伊桑·霍克 Ethan Hawke,伊桑·霍克,Ethan Hawke
1320589,丹羽圭子 Keiko Niwa,丹羽圭子,Keiko Niwa
1037734,玛丽·诺顿 Mary Norton,玛丽·诺顿,Mary Norton
1335499,李炳宪 Byeong-Heon Lee,李炳宪,Byeong-Heon Lee
