movie_id,title,douban_url,poster,导演,主演,类型,制片国家/地区,年份
27202818,婚姻故事 Marriage Story,https://movie.douban.com/subject/27202818/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2571760178.jpg,诺亚·鲍姆巴赫,斯嘉丽·约翰逊/亚当·德赖弗/劳拉·邓恩,剧情/爱情,英国/美国,2019
6981153,爱尔兰人 The Irishman,https://movie.douban.com/subject/6981153/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568902055.jpg,马丁·斯科塞斯,罗伯特·德尼罗/阿尔·帕西诺/乔·佩西,剧情/传记/犯罪,美国,2019
26701196,无主之作 Werk ohne Autor,https://movie.douban.com/subject/26701196/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554483719.jpg,弗洛里安·亨克尔·冯·多纳斯马尔克,汤姆·希林/塞巴斯蒂安·科赫/葆拉·贝尔,剧情,德国/意大利,2018
27119586,谁先爱上他的 誰先愛上他的,https://movie.douban.com/subject/27119586/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2548181591.jpg,徐誉庭/许智彦,邱泽/谢盈萱/陈如山,剧情/喜剧/同性,中国台湾,2018
27060077,绿皮书 Green Book,https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,彼得·法雷里,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼,剧情/喜剧/传记/音乐,美国/中国大陆,2018
1307766,那山那人那狗,https://movie.douban.com/subject/1307766/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p798810224.jpg,霍建起,滕汝骏/刘烨/赵秀丽,剧情/家庭,中国大陆,1999
3369426,T省的84·85年,https://movie.douban.com/subject/3369426/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502295836.jpg,杨延晋,叶志康/达式常/郭允泰,剧情,中国大陆,1986
19976058,念书的孩子,https://movie.douban.com/subject/19976058/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2461375551.jpg,原雅轩,江化霖/李佳奇/原明轩,剧情/儿童,中国大陆,2012
27622447,小偷家族 万引き家族,https://movie.douban.com/subject/27622447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,是枝裕和,中川雅也/安藤樱/松冈茉优,剧情/犯罪/家庭,日本,2018
26787574,奇迹男孩 Wonder,https://movie.douban.com/subject/26787574/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,斯蒂芬·卓博斯基,雅各布·特伦布莱/朱莉娅·罗伯茨/伊扎贝拉·维多维奇,剧情/儿童/家庭,美国/中国香港,2017
26611804,"三块广告牌 Three Billboards Outside Ebbing, Missouri",https://movie.douban.com/subject/26611804/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502943384.jpg,马丁·麦克唐纳,弗兰西斯·麦克多蒙德/伍迪·哈里森/山姆·洛克威尔,剧情/犯罪,英国/美国,2017
27030639,啊，荒野 后篇 あゝ、荒野 後篇,https://movie.douban.com/subject/27030639/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2500978171.jpg,岸善幸,菅田将晖/梁益准/木下明里,剧情,日本,2017
